image_name,target
ISIC_0206934,1
ISIC_0207197,0
ISIC_0208233,1
ISIC_0209640,0
ISIC_0210915,1
ISIC_0212435,0
ISIC_0212468,0
ISIC_0213848,0
ISIC_0216203,0
ISIC_0216447,1
ISIC_0220438,1
ISIC_0220466,1
ISIC_0223354,0
ISIC_0223463,1
ISIC_0223760,0
ISIC_0224309,1
ISIC_0225471,0
ISIC_0225894,0
ISIC_0226234,0
ISIC_0227767,0
ISIC_0228452,0
ISIC_0229266,1
ISIC_0230247,0
ISIC_0230499,1
ISIC_0231539,1
ISIC_0231788,0
ISIC_0232763,0
ISIC_0235107,0
ISIC_0235501,1
ISIC_0235505,1
ISIC_0235542,0
ISIC_0238185,0
ISIC_0238872,0
ISIC_0239635,1
ISIC_0240839,0
ISIC_0241566,1
ISIC_0243686,0
ISIC_0243937,0
ISIC_0244266,1
ISIC_0244465,0
ISIC_0244617,0
ISIC_0244885,0
ISIC_0245273,0
ISIC_0246008,0
ISIC_0246211,0
ISIC_0248702,0
ISIC_0251455,1
ISIC_0251656,1
ISIC_0252811,0
ISIC_0254594,0
ISIC_0255112,1
ISIC_0256267,0
ISIC_0258149,1
ISIC_0258489,1
ISIC_0258717,0
ISIC_0259209,1
ISIC_0259237,1
ISIC_0261866,1
ISIC_0261904,0
ISIC_0261907,0
ISIC_0262392,0
ISIC_0262492,1
ISIC_0263920,0
ISIC_0265011,0
ISIC_0267082,0
ISIC_0268025,0
ISIC_0268451,1
ISIC_0269476,0
ISIC_0270022,1
ISIC_0270367,0
ISIC_0271223,0
ISIC_0272190,1
ISIC_0273533,0
ISIC_0274458,1
ISIC_0274698,1
ISIC_0274789,1
ISIC_0276718,0
ISIC_0280382,0
ISIC_0280752,1
ISIC_0280782,1
ISIC_0280827,1
ISIC_0281227,0
ISIC_0282269,0
ISIC_0282486,0
ISIC_0282737,1
ISIC_0284147,0
ISIC_0284441,0
ISIC_0284485,0
ISIC_0285491,0
ISIC_0285697,1
ISIC_0286688,0
ISIC_0287132,0
ISIC_0287325,0
ISIC_0288225,0
ISIC_0290187,0
ISIC_0291705,0
ISIC_0292996,1
ISIC_0294150,1
ISIC_0296540,0
ISIC_0297539,0
ISIC_0297702,0
ISIC_0298417,1
ISIC_0299870,1
ISIC_0300002,1
ISIC_0301547,0
ISIC_0301769,1
ISIC_0304467,0
ISIC_0304666,0
ISIC_0304667,1
ISIC_0306094,0
ISIC_0307004,1
ISIC_0307411,1
ISIC_0309192,0
ISIC_0309503,0
ISIC_0310320,1
ISIC_0311235,1
ISIC_0311814,0
ISIC_0312717,0
ISIC_0313675,0
ISIC_0317285,1
ISIC_0318934,0
ISIC_0319131,0
ISIC_0319990,1
ISIC_0320662,0
ISIC_0321218,1
ISIC_0321906,1
ISIC_0321948,0
ISIC_0322514,1
ISIC_0327756,1
ISIC_0328346,0
ISIC_0328687,0
ISIC_0328823,0
ISIC_0329169,0
ISIC_0329910,1
ISIC_0330060,0
ISIC_0330886,0
ISIC_0332421,0
ISIC_0332456,1
ISIC_0334179,1
ISIC_0335244,1
ISIC_0335886,1
ISIC_0336093,1
ISIC_0338118,1
ISIC_0338587,1
ISIC_0339455,1
ISIC_0340198,0
ISIC_0340572,1
ISIC_0341315,0
ISIC_0343131,0
ISIC_0343283,1
ISIC_0346766,1
ISIC_0347157,0
ISIC_0348342,0
ISIC_0350347,1
ISIC_0350470,0
ISIC_0351156,1
ISIC_0351912,0
ISIC_0352620,1
ISIC_0353021,0
ISIC_0355377,0
ISIC_0358260,0
ISIC_0358623,0
ISIC_0359676,0
ISIC_0359720,1
ISIC_0361122,0
ISIC_0366488,1
ISIC_0367795,1
ISIC_0367988,1
ISIC_0368092,0
ISIC_0368696,0
ISIC_0369888,1
ISIC_0370322,1
ISIC_0371470,0
ISIC_0371907,0
ISIC_0372927,1
ISIC_0372955,0
ISIC_0372971,0
ISIC_0373723,0
ISIC_0375431,0
ISIC_0377642,0
ISIC_0378391,1
ISIC_0378668,1
ISIC_0379549,0
ISIC_0380224,0
ISIC_0381595,1
ISIC_0382931,1
ISIC_0383641,1
ISIC_0383780,0
ISIC_0385415,1
ISIC_0385463,0
ISIC_0385865,1
ISIC_0388802,1
ISIC_0389010,1
ISIC_0389392,0
ISIC_0389675,0
ISIC_0390209,0
ISIC_0391046,1
ISIC_0391777,0
ISIC_0392680,0
ISIC_0392931,0
ISIC_0393891,1
ISIC_0394533,0
ISIC_0394763,0
ISIC_0394802,1
ISIC_0395681,0
ISIC_0395885,0
ISIC_0398134,1
ISIC_0400652,0
ISIC_0401679,0
ISIC_0403198,0
ISIC_0406137,1
ISIC_0407054,0
ISIC_0407220,1
ISIC_0408372,0
ISIC_0408969,0
ISIC_0409388,1
ISIC_0410649,0
ISIC_0411243,1
ISIC_0414776,1
ISIC_0416431,0
ISIC_0416708,0
ISIC_0418978,0
ISIC_0419005,1
ISIC_0421107,1
ISIC_0424070,1
ISIC_0426960,1
ISIC_0427371,0
ISIC_0429551,1
ISIC_0431350,1
ISIC_0431499,1
ISIC_0431738,0
ISIC_0432133,1
ISIC_0432265,1
ISIC_0432894,1
ISIC_0433895,0
ISIC_0434253,1
ISIC_0434274,0
ISIC_0434285,0
ISIC_0434890,1
ISIC_0434920,0
ISIC_0435283,1
ISIC_0435396,0
ISIC_0436298,0
ISIC_0436727,1
ISIC_0436779,0
ISIC_0436884,0
ISIC_0437081,1
ISIC_0437384,0
ISIC_0437987,0
ISIC_0438584,1
ISIC_0439475,0
ISIC_0441244,1
ISIC_0442293,1
ISIC_0442567,1
ISIC_0445097,0
ISIC_0446097,0
ISIC_0446287,0
ISIC_0446447,0
ISIC_0448691,1
ISIC_0450552,1
ISIC_0451155,1
ISIC_0451665,1
ISIC_0452297,0
ISIC_0453555,1
ISIC_0454124,0
ISIC_0454916,0
ISIC_0456176,1
ISIC_0456797,0
ISIC_0457344,1
ISIC_0457384,0
ISIC_0457494,0
ISIC_0457530,1
ISIC_0457688,0
ISIC_0459718,0
ISIC_0460023,0
ISIC_0460170,1
ISIC_0460323,0
ISIC_0461615,0
ISIC_0462037,0
ISIC_0462120,1
ISIC_0462327,0
ISIC_0462336,0
ISIC_0462792,0
ISIC_0463800,1
ISIC_0464417,1
ISIC_0465975,1
ISIC_0467617,0
ISIC_0468644,1
ISIC_0469457,1
ISIC_0470465,1
ISIC_0470699,1
ISIC_0473489,0
ISIC_0474220,0
ISIC_0476927,0
ISIC_0477213,1
ISIC_0477217,0
ISIC_0477424,0
ISIC_0477793,1
ISIC_0477875,0
ISIC_0477986,0
ISIC_0479726,1
ISIC_0479755,0
ISIC_0480158,0
ISIC_0481105,1
ISIC_0482298,0
ISIC_0482617,0
ISIC_0485889,1
ISIC_0486436,0
ISIC_0487789,1
ISIC_0488846,1
ISIC_0490555,0
ISIC_0492058,0
ISIC_0493101,0
ISIC_0493429,1
ISIC_0493786,0
ISIC_0495167,1
ISIC_0495234,0
ISIC_0495887,0
ISIC_0495948,1
ISIC_0497721,0
ISIC_0498659,0
ISIC_0500319,0
ISIC_0500851,0
ISIC_0501199,1
ISIC_0501295,0
ISIC_0502032,0
ISIC_0502364,0
ISIC_0504453,1
ISIC_0504686,1
ISIC_0504935,0
ISIC_0505403,1
ISIC_0505447,0
ISIC_0506082,0
ISIC_0506198,0
ISIC_0508596,0
ISIC_0509538,0
ISIC_0510408,0
ISIC_0510439,0
ISIC_0510794,1
ISIC_0511981,1
ISIC_0513674,0
ISIC_0513808,0
ISIC_0515041,1
ISIC_0515737,1
ISIC_0517531,0
ISIC_0517673,1
ISIC_0519860,0
ISIC_0520611,0
ISIC_0521580,0
ISIC_0521689,0
ISIC_0521877,0
ISIC_0522569,1
ISIC_0523596,1
ISIC_0524466,1
ISIC_0524604,0
ISIC_0525213,0
ISIC_0525405,0
ISIC_0527588,0
ISIC_0528304,1
ISIC_0528945,0
ISIC_0530946,0
ISIC_0532813,0
ISIC_0533917,0
ISIC_0535264,1
ISIC_0535812,1
ISIC_0536393,0
ISIC_0537310,1
ISIC_0537430,1
ISIC_0538335,1
ISIC_0538391,1
ISIC_0539046,0
ISIC_0539432,1
ISIC_0539662,0
ISIC_0541206,1
ISIC_0542744,0
ISIC_0542899,1
ISIC_0543866,0
ISIC_0544482,1
ISIC_0545219,1
ISIC_0545222,1
ISIC_0546119,1
ISIC_0546506,0
ISIC_0546632,1
ISIC_0546682,1
ISIC_0547086,1
ISIC_0548182,1
ISIC_0548968,1
ISIC_0550777,0
ISIC_0554395,0
ISIC_0554507,0
ISIC_0554535,0
ISIC_0554819,0
ISIC_0555540,1
ISIC_0556297,0
ISIC_0556505,1
ISIC_0556568,0
ISIC_0557285,0
ISIC_0557595,0
ISIC_0557850,1
ISIC_0558458,1
ISIC_0558563,0
ISIC_0558899,0
ISIC_0559101,1
ISIC_0561202,1
ISIC_0564203,0
ISIC_0565070,1
ISIC_0567332,0
ISIC_0570796,1
ISIC_0571162,0
ISIC_0571336,1
ISIC_0572486,0
ISIC_0574930,0
ISIC_0576125,0
ISIC_0578316,0
ISIC_0578354,1
ISIC_0579350,0
ISIC_0579367,1
ISIC_0580265,1
ISIC_0582447,1
ISIC_0582531,0
ISIC_0583833,0
ISIC_0584197,1
ISIC_0585534,1
ISIC_0586493,0
ISIC_0586601,0
ISIC_0587024,1
ISIC_0587027,0
ISIC_0587527,0
ISIC_0588157,1
ISIC_0588162,1
ISIC_0588352,1
ISIC_0589061,0
ISIC_0590646,0
ISIC_0591142,1
ISIC_0591685,0
ISIC_0592225,0
ISIC_0592796,0
ISIC_0594374,0
ISIC_0594932,0
ISIC_0595682,1
ISIC_0596005,1
ISIC_0596499,0
ISIC_0598190,0
ISIC_0598769,1
ISIC_0600649,1
ISIC_0600710,0
ISIC_0602170,0
ISIC_0602633,1
ISIC_0603307,0
ISIC_0604055,0
ISIC_0604516,1
ISIC_0605259,1
ISIC_0606244,1
ISIC_0607037,1
ISIC_0607397,0
ISIC_0607473,0
ISIC_0607693,1
ISIC_0608042,0
ISIC_0608105,1
ISIC_0608330,0
ISIC_0609220,0
ISIC_0609770,0
ISIC_0610325,1
ISIC_0611293,0
ISIC_0611390,1
ISIC_0611822,0
ISIC_0612337,0
ISIC_0613199,0
ISIC_0613239,0
ISIC_0613293,0
ISIC_0613555,1
ISIC_0613748,1
ISIC_0615241,0
ISIC_0616900,0
ISIC_0619695,0
ISIC_0620316,1
ISIC_0620379,0
ISIC_0620581,0
ISIC_0621355,0
ISIC_0621919,0
ISIC_0622203,0
ISIC_0622461,0
ISIC_0623254,0
ISIC_0623493,0
ISIC_0623650,1
ISIC_0624194,0
ISIC_0627128,1
ISIC_0627467,0
ISIC_0631039,1
ISIC_0633018,1
ISIC_0633831,1
ISIC_0634161,0
ISIC_0634896,1
ISIC_0635396,0
ISIC_0635721,1
ISIC_0636920,1
ISIC_0637104,1
ISIC_0637231,0
ISIC_0639631,1
ISIC_0640439,0
ISIC_0641371,0
ISIC_0644758,0
ISIC_0644873,1
ISIC_0645560,0
ISIC_0646211,1
ISIC_0646723,0
ISIC_0647385,0
ISIC_0649394,0
ISIC_0650063,1
ISIC_0650090,0
ISIC_0653629,0
ISIC_0653693,0
ISIC_0653761,1
ISIC_0654120,0
ISIC_0655378,0
ISIC_0655512,1
ISIC_0656308,1
ISIC_0660782,1
ISIC_0660925,1
ISIC_0662288,1
ISIC_0663197,1
ISIC_0663707,0
ISIC_0664454,0
ISIC_0664524,1
ISIC_0665430,0
ISIC_0665521,0
ISIC_0667449,0
ISIC_0668855,1
ISIC_0669360,0
ISIC_0671119,1
ISIC_0673217,1
ISIC_0673441,0
ISIC_0673705,1
ISIC_0673777,0
ISIC_0673970,0
ISIC_0674308,0
ISIC_0674636,1
ISIC_0674769,0
ISIC_0675554,0
ISIC_0675743,0
ISIC_0676272,1
ISIC_0676443,1
ISIC_0676863,0
ISIC_0677660,0
ISIC_0678034,0
ISIC_0680997,0
ISIC_0681019,1
ISIC_0681410,0
ISIC_0681751,1
ISIC_0682057,1
ISIC_0682495,0
ISIC_0682907,0
ISIC_0682960,0
ISIC_0684256,1
ISIC_0684654,0
ISIC_0684862,0
ISIC_0685033,1
ISIC_0685067,1
ISIC_0686961,1
ISIC_0689307,0
ISIC_0692073,1
ISIC_0695000,1
ISIC_0695255,1
ISIC_0695851,0
ISIC_0697455,1
ISIC_0698209,1
ISIC_0700078,0
ISIC_0700201,0
ISIC_0701187,0
ISIC_0701649,1
ISIC_0701776,0
ISIC_0703440,0
ISIC_0703903,0
ISIC_0703979,0
ISIC_0704243,0
ISIC_0704245,0
ISIC_0704435,0
ISIC_0705764,0
ISIC_0705909,0
ISIC_0707036,1
ISIC_0707359,0
ISIC_0707819,0
ISIC_0708442,0
ISIC_0708867,0
ISIC_0708878,0
ISIC_0710840,1
ISIC_0712978,0
ISIC_0713157,0
ISIC_0714126,1
ISIC_0714540,0
ISIC_0715784,0
ISIC_0715864,0
ISIC_0716650,0
ISIC_0717635,0
ISIC_0718698,0
ISIC_0719763,0
ISIC_0720050,0
ISIC_0720319,1
ISIC_0721575,0
ISIC_0721927,0
ISIC_0722065,1
ISIC_0722323,0
ISIC_0723369,0
ISIC_0723819,1
ISIC_0724106,0
ISIC_0724784,1
ISIC_0727953,0
ISIC_0728055,1
ISIC_0728474,0
ISIC_0728977,0
ISIC_0729188,1
ISIC_0729365,1
ISIC_0732158,1
ISIC_0732261,0
ISIC_0733408,1
ISIC_0734038,0
ISIC_0734761,1
ISIC_0735344,1
ISIC_0735361,1
ISIC_0735507,1
ISIC_0737285,1
ISIC_0737596,0
ISIC_0737951,1
ISIC_0738067,1
ISIC_0738616,0
ISIC_0739064,0
ISIC_0739401,1
ISIC_0740997,1
ISIC_0743576,0
ISIC_0743739,1
ISIC_0743789,0
ISIC_0746818,0
ISIC_0747114,1
ISIC_0748291,0
ISIC_0749073,0
ISIC_0749202,0
ISIC_0752872,0
ISIC_0753499,0
ISIC_0755453,1
ISIC_0756977,1
ISIC_0757171,1
ISIC_0758024,1
ISIC_0758246,0
ISIC_0758568,1
ISIC_0759383,0
ISIC_0760154,0
ISIC_0760260,0
ISIC_0762091,0
ISIC_0763495,0
ISIC_0764739,1
ISIC_0765355,1
ISIC_0767812,0
ISIC_0769066,0
ISIC_0770095,0
ISIC_0770234,0
ISIC_0770508,1
ISIC_0770817,1
ISIC_0771788,0
ISIC_0772522,1
ISIC_0772578,1
ISIC_0772706,0
ISIC_0773190,1
ISIC_0774444,1
ISIC_0775579,1
ISIC_0775584,1
ISIC_0776524,1
ISIC_0776616,0
ISIC_0776803,0
ISIC_0776824,1
ISIC_0777077,1
ISIC_0778512,0
ISIC_0779258,0
ISIC_0780165,1
ISIC_0781571,1
ISIC_0784160,0
ISIC_0785830,1
ISIC_0786267,0
ISIC_0786322,0
ISIC_0788550,0
ISIC_0792325,0
ISIC_0792492,1
ISIC_0792564,0
ISIC_0792986,0
ISIC_0794617,1
ISIC_0795653,0
ISIC_0796707,0
ISIC_0797113,0
ISIC_0799427,0
ISIC_0799785,0
ISIC_0799979,0
ISIC_0800693,0
ISIC_0801740,0
ISIC_0802693,0
ISIC_0803310,0
ISIC_0803341,0
ISIC_0803636,1
ISIC_0804023,1
ISIC_0805392,0
ISIC_0807283,0
ISIC_0807404,0
ISIC_0808861,1
ISIC_0809377,0
ISIC_0809747,0
ISIC_0810336,1
ISIC_0810894,0
ISIC_0811323,0
ISIC_0813138,1
ISIC_0813352,0
ISIC_0814613,1
ISIC_0816087,0
ISIC_0816173,1
ISIC_0817883,0
ISIC_0818301,1
ISIC_0821277,1
ISIC_0821445,0
ISIC_0821598,0
ISIC_0822581,0
ISIC_0823047,1
ISIC_0823591,0
ISIC_0824050,0
ISIC_0825029,1
ISIC_0825725,1
ISIC_0829859,0
ISIC_0830589,0
ISIC_0834674,0
ISIC_0835778,0
ISIC_0836745,1
ISIC_0839044,1
ISIC_0839368,1
ISIC_0840535,1
ISIC_0840661,1
ISIC_0841028,1
ISIC_0842398,1
ISIC_0842798,0
ISIC_0843175,1
ISIC_0843626,0
ISIC_0844546,0
ISIC_0844930,0
ISIC_0844952,0
ISIC_0845696,1
ISIC_0848406,0
ISIC_0848986,0
ISIC_0851144,0
ISIC_0852759,0
ISIC_0853184,0
ISIC_0853566,0
ISIC_0853893,1
ISIC_0854582,0
ISIC_0855262,0
ISIC_0856987,0
ISIC_0857436,0
ISIC_0857443,0
ISIC_0857595,1
ISIC_0861327,0
ISIC_0862505,0
ISIC_0863212,1
ISIC_0864741,0
ISIC_0865303,0
ISIC_0866123,1
ISIC_0866838,0
ISIC_0867509,1
ISIC_0867683,1
ISIC_0868513,0
ISIC_0869415,0
ISIC_0870455,1
ISIC_0870529,0
ISIC_0871473,0
ISIC_0873174,1
ISIC_0874437,1
ISIC_0874522,0
ISIC_0874582,0
ISIC_0874773,1
ISIC_0875072,0
ISIC_0876617,1
ISIC_0876689,1
ISIC_0877438,0
ISIC_0877919,0
ISIC_0878952,0
ISIC_0879061,1
ISIC_0879986,1
ISIC_0881100,1
ISIC_0881645,0
ISIC_0881966,0
ISIC_0883924,0
ISIC_0884023,1
ISIC_0884538,1
ISIC_0885369,0
ISIC_0885617,1
ISIC_0886447,0
ISIC_0887532,1
ISIC_0887743,0
ISIC_0887966,0
ISIC_0890305,1
ISIC_0891059,0
ISIC_0891718,0
ISIC_0892179,0
ISIC_0893984,0
ISIC_0894308,0
ISIC_0894646,0
ISIC_0896427,1
ISIC_0897639,0
ISIC_0897958,1
ISIC_0898069,1
ISIC_0899393,0
ISIC_0900251,1
ISIC_0904702,0
ISIC_0904866,0
ISIC_0906558,0
ISIC_0908698,1
ISIC_0908910,0
ISIC_0909069,1
ISIC_0910022,0
ISIC_0913137,1
ISIC_0915083,1
ISIC_0915125,1
ISIC_0915404,1
ISIC_0915906,0
ISIC_0916159,0
ISIC_0916649,0
ISIC_0917619,1
ISIC_0917843,0
ISIC_0920023,0
ISIC_0923085,1
ISIC_0923805,1
ISIC_0924293,1
ISIC_0924421,0
ISIC_0925021,1
ISIC_0925309,1
ISIC_0925595,0
ISIC_0928578,1
ISIC_0929007,0
ISIC_0929505,1
ISIC_0929834,1
ISIC_0930476,0
ISIC_0931223,1
ISIC_0931237,1
ISIC_0931921,0
ISIC_0932157,0
ISIC_0932935,0
ISIC_0934095,0
ISIC_0935275,0
ISIC_0935315,0
ISIC_0935644,0
ISIC_0936377,1
ISIC_0936437,0
ISIC_0936718,0
ISIC_0937409,1
ISIC_0939822,1
ISIC_0940257,0
ISIC_0941443,1
ISIC_0943849,1
ISIC_0945202,1
ISIC_0946365,0
ISIC_0946870,0
ISIC_0948167,1
ISIC_0949276,0
ISIC_0949297,0
ISIC_0950488,0
ISIC_0951638,0
ISIC_0951713,0
ISIC_0951865,1
ISIC_0953153,1
ISIC_0953256,0
ISIC_0953764,0
ISIC_0954001,1
ISIC_0954003,1
ISIC_0955375,0
ISIC_0955990,1
ISIC_0957317,1
ISIC_0957556,0
ISIC_0958029,0
ISIC_0958136,0
ISIC_0958433,1
ISIC_0959042,1
ISIC_0959864,0
ISIC_0960354,1
ISIC_0960568,0
ISIC_0960806,0
ISIC_0960859,0
ISIC_0960920,0
ISIC_0962274,0
ISIC_0963642,0
ISIC_0963700,1
ISIC_0963827,0
ISIC_0964240,1
ISIC_0965703,0
ISIC_0966701,1
ISIC_0968444,0
ISIC_0969096,1
ISIC_0969318,0
ISIC_0969723,1
ISIC_0969858,0
ISIC_0971824,1
ISIC_0973496,0
ISIC_0973792,1
ISIC_0974607,0
ISIC_0974656,0
ISIC_0975302,0
ISIC_0975751,0
ISIC_0976336,1
ISIC_0976715,0
ISIC_0977528,0
ISIC_0977840,1
ISIC_0979085,1
ISIC_0983754,1
ISIC_0983886,0
ISIC_0984395,0
ISIC_0986894,1
ISIC_0988793,0
ISIC_0989319,0
ISIC_0989851,0
ISIC_0990463,0
ISIC_0991001,1
ISIC_0991565,0
ISIC_0993052,0
ISIC_0994106,0
ISIC_0994563,1
ISIC_0995436,1
ISIC_0996247,0
ISIC_0996309,0
ISIC_0996873,0
ISIC_0996998,1
ISIC_0997267,1
ISIC_0997441,1
ISIC_0998106,0
ISIC_0998563,0
ISIC_0998993,1
ISIC_0999078,1
ISIC_1000047,0
ISIC_1000561,1
ISIC_1001083,0
ISIC_1001684,0
ISIC_1002119,0
ISIC_1002671,0
ISIC_1002860,1
ISIC_1002877,1
ISIC_1003544,0
ISIC_1005153,0
ISIC_1005222,0
ISIC_1006804,1
ISIC_1007291,0
ISIC_1007483,0
ISIC_1007680,1
ISIC_1010386,1
ISIC_1010648,0
ISIC_1010820,0
ISIC_1012437,1
ISIC_1012493,0
ISIC_1012877,0
ISIC_1013134,1
ISIC_1014088,0
ISIC_1014242,0
ISIC_1016571,0
ISIC_1018504,1
ISIC_1020076,0
ISIC_1020375,1
ISIC_1020690,1
ISIC_1020885,0
ISIC_1022193,1
ISIC_1023256,1
ISIC_1024296,0
ISIC_1024303,0
ISIC_1025976,0
ISIC_1026838,0
ISIC_1027213,0
ISIC_1027317,1
ISIC_1028276,0
ISIC_1028547,1
ISIC_1029774,0
ISIC_1030252,1
ISIC_1031089,0
ISIC_1031129,1
ISIC_1033188,1
ISIC_1033681,0
ISIC_1036233,0
ISIC_1038585,0
ISIC_1038924,1
ISIC_1040138,0
ISIC_1040687,0
ISIC_1041931,1
ISIC_1042751,1
ISIC_1044445,1
ISIC_1045378,1
ISIC_1046759,1
ISIC_1046880,0
ISIC_1048928,0
ISIC_1049904,1
ISIC_1049919,1
ISIC_1051244,0
ISIC_1051781,0
ISIC_1051972,0
ISIC_1053867,1
ISIC_1054458,1
ISIC_1055367,0
ISIC_1055510,0
ISIC_1055611,1
ISIC_1056295,0
ISIC_1057913,0
ISIC_1058272,1
ISIC_1058926,0
ISIC_1060105,1
ISIC_1061205,1
ISIC_1061980,1
ISIC_1063083,0
ISIC_1063577,0
ISIC_1063585,1
ISIC_1064590,1
ISIC_1064649,0
ISIC_1065235,1
ISIC_1065536,1
ISIC_1066239,1
ISIC_1067314,0
ISIC_1068875,0
ISIC_1069268,0
ISIC_1071664,1
ISIC_1071730,1
ISIC_1073062,0
ISIC_1073477,1
ISIC_1075408,1
ISIC_1077011,1
ISIC_1081390,1
ISIC_1081575,0
ISIC_1082953,0
ISIC_1083405,0
ISIC_1085649,0
ISIC_1086280,1
ISIC_1086952,0
ISIC_1087637,1
ISIC_1088865,0
ISIC_1089351,1
ISIC_1090575,0
ISIC_1092064,1
ISIC_1092675,1
ISIC_1092969,0
ISIC_1094652,1
ISIC_1095054,0
ISIC_1095433,1
ISIC_1095798,1
ISIC_1096286,0
ISIC_1097111,1
ISIC_1098696,0
ISIC_1099376,0
ISIC_1100351,1
ISIC_1100698,0
ISIC_1102832,0
ISIC_1102982,0
ISIC_1105085,0
ISIC_1105499,1
ISIC_1105878,1
ISIC_1106836,0
ISIC_1107411,0
ISIC_1107781,0
ISIC_1108023,1
ISIC_1111490,1
ISIC_1111779,1
ISIC_1114152,0
ISIC_1114416,1
ISIC_1114853,1
ISIC_1115161,0
ISIC_1115431,0
ISIC_1115450,0
ISIC_1117298,0
ISIC_1117759,0
ISIC_1120310,0
ISIC_1120488,0
ISIC_1121394,1
ISIC_1121879,1
ISIC_1123720,0
ISIC_1124042,0
ISIC_1124428,0
ISIC_1126114,1
ISIC_1127199,0
ISIC_1129791,1
ISIC_1130132,0
ISIC_1131265,0
ISIC_1132989,1
ISIC_1133253,1
ISIC_1134064,1
ISIC_1134067,1
ISIC_1134428,0
ISIC_1136261,1
ISIC_1136744,0
ISIC_1138294,1
ISIC_1139398,0
ISIC_1142023,1
ISIC_1142863,0
ISIC_1148668,1
ISIC_1148772,0
ISIC_1149242,0
ISIC_1149593,0
ISIC_1149878,0
ISIC_1150264,0
ISIC_1151268,0
ISIC_1153749,0
ISIC_1153994,0
ISIC_1156605,0
ISIC_1156782,0
ISIC_1157297,0
ISIC_1158202,0
ISIC_1158632,0
ISIC_1159131,0
ISIC_1159934,0
ISIC_1162854,1
ISIC_1164661,1
ISIC_1164704,0
ISIC_1164708,0
ISIC_1165206,1
ISIC_1167822,1
ISIC_1168245,0
ISIC_1170265,1
ISIC_1170291,0
ISIC_1170397,0
ISIC_1171499,0
ISIC_1174069,1
ISIC_1174480,0
ISIC_1176670,0
ISIC_1176730,1
ISIC_1177164,1
ISIC_1178339,1
ISIC_1178804,0
ISIC_1180045,0
ISIC_1181351,1
ISIC_1181525,1
ISIC_1182169,0
ISIC_1182408,1
ISIC_1183370,1
ISIC_1186674,0
ISIC_1187128,0
ISIC_1189120,1
ISIC_1190973,0
ISIC_1192931,1
ISIC_1195031,1
ISIC_1195194,1
ISIC_1197099,0
ISIC_1197153,1
ISIC_1197218,0
ISIC_1198439,1
ISIC_1201019,1
ISIC_1202656,0
ISIC_1203137,1
ISIC_1203351,0
ISIC_1204287,0
ISIC_1205053,1
ISIC_1207459,1
ISIC_1208095,1
ISIC_1208410,0
ISIC_1210053,0
ISIC_1211739,1
ISIC_1211873,1
ISIC_1212236,0
ISIC_1212424,1
ISIC_1213881,1
ISIC_1214226,0
ISIC_1215786,1
ISIC_1217400,0
ISIC_1220972,0
ISIC_1221356,1
ISIC_1221363,1
ISIC_1222096,1
ISIC_1222604,1
ISIC_1223181,1
ISIC_1223282,0
ISIC_1223751,1
ISIC_1224459,0
ISIC_1225148,1
ISIC_1225443,1
ISIC_1226325,1
ISIC_1226881,0
ISIC_1227734,1
ISIC_1227887,1
ISIC_1228746,1
